event_date,year,type,total_events
2017-02-15,2017,IssueCommentEvent,98014
2017-02-15,2017,IssuesEvent,47376
2017-02-15,2017,MemberEvent,6784
2017-02-15,2017,PublicEvent,1280
2017-02-15,2017,PullRequestEvent,70535
2017-02-15,2017,PullRequestReviewCommentEvent,27169
2017-02-15,2017,PushEvent,636027
2017-02-15,2017,ReleaseEvent,4507
2017-02-15,2017,WatchEvent,103883
2017-02-16,2017,CommitCommentEvent,3159
2017-02-16,2017,CreateEvent,176150
2017-02-16,2017,DeleteEvent,29871
2017-02-16,2017,GollumEvent,8528
2017-02-16,2017,IssueCommentEvent,99618
2017-02-16,2017,IssuesEvent,48718
2017-02-16,2017,MemberEvent,6760
2017-02-16,2017,PublicEvent,1196
2017-02-16,2017,PullRequestEvent,72787
2017-02-16,2017,PullRequestReviewCommentEvent,27935
2017-02-16,2017,PushEvent,640720
2017-02-16,2017,ReleaseEvent,4572
2017-02-16,2017,WatchEvent,104859
2017-02-17,2017,CommitCommentEvent,3078
2017-02-17,2017,CreateEvent,162809
2017-02-17,2017,DeleteEvent,27094
2017-02-17,2017,GollumEvent,8339
2017-02-17,2017,IssueCommentEvent,93043
2017-02-17,2017,IssuesEvent,46053
2017-02-17,2017,MemberEvent,5842
2017-02-17,2017,PublicEvent,1065
2017-02-17,2017,PullRequestEvent,67813
2017-02-17,2017,PullRequestReviewCommentEvent,25081
2017-02-17,2017,PushEvent,613954
2017-02-17,2017,ReleaseEvent,4215
2017-02-17,2017,WatchEvent,104306
2017-02-18,2017,CommitCommentEvent,1902
2017-02-18,2017,CreateEvent,120991
2017-02-18,2017,DeleteEvent,19552
2017-02-18,2017,GollumEvent,5571
2017-02-18,2017,IssueCommentEvent,48597
2017-02-18,2017,IssuesEvent,27117
2017-02-18,2017,MemberEvent,4204
2017-02-18,2017,PublicEvent,766
2017-02-18,2017,PullRequestEvent,40095
2017-02-18,2017,PullRequestReviewCommentEvent,9535
2017-02-18,2017,PushEvent,443762
2017-02-18,2017,ReleaseEvent,2634
2017-02-18,2017,WatchEvent,64907
2017-02-19,2017,CommitCommentEvent,1870
2017-02-19,2017,CreateEvent,118261
2017-02-19,2017,DeleteEvent,18871
2017-02-19,2017,GollumEvent,5295
2017-02-19,2017,IssueCommentEvent,48401
2017-02-19,2017,IssuesEvent,27371
2017-02-19,2017,MemberEvent,3085
2017-02-19,2017,PublicEvent,909
2017-02-19,2017,PullRequestEvent,39261
2017-02-19,2017,PullRequestReviewCommentEvent,8674
2017-02-19,2017,PushEvent,468209
